task_id,node_name,automation_share,automation_pct,augmentation_pct,pct,ai_autonomy_mean,human_only_time_mean,human_with_ai_time_mean
16343,"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",20.0,20.0,80.0,0.0,2.77,13.52,70.64
16354,Perform systems analysis or programming of radio frequency identification device (RFID) technology.,46.43,46.43,53.57,0.0,2.89,8.39,72.08
1636,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",41.33,41.33,58.67,0.02,2.65,5.64,34.86
16371,"Collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (RFID) technology.",100.0,100.0,0.0,0.0,2.78,1.53,4.41
16372,"Write, review, or comment on documents, such as proposals, test plans, or procedures.",38.0,38.0,62.0,0.02,2.88,6.98,46.66
16379,"Recommend workplace changes to improve health and safety, using knowledge of potentially harmful factors, such as heavy loads or repetitive motions.",45.32,45.32,54.68,0.0,2.62,3.29,31.81
16382,"Perform statistical analyses, such as social network pattern analysis, network modeling, discrete event simulation, agent-based modeling, statistical natural language processing, computational sociology, mathematical optimization, or systems dynamics.",47.62,47.62,52.38,0.0,2.91,7.81,78.45
16386,Establish system operating or training requirements to ensure optimized human-machine interfaces.,27.12,27.12,72.88,0.0,2.85,5.44,45.87
16388,"Develop or implement human performance research, investigation, or analysis protocols.",30.89,31.46,70.39,0.01,2.85,7.09,58.12
16389,"Develop or implement research methodologies or statistical analysis plans to test and evaluate developmental prototypes used in new products or processes, such as cockpit designs, user workstations, or computerized human models.",42.86,42.86,57.14,0.0,3.0,6.5,40.38
16390,"Design cognitive aids, such as procedural storyboards or decision support systems.",27.87,27.87,72.13,0.0,2.97,9.88,56.8
16392,Assess the user-interface or usability characteristics of products.,40.92,40.92,59.08,0.03,2.87,3.6,27.02
16394,"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",30.67,30.67,69.33,0.0,3.21,13.63,54.44
16398,Write technical reports or proposals related to engineering projects.,49.56,49.56,50.44,0.0,3.1,11.12,37.76
16407,Provide technical consultation or direction related to the development or production of fuel cell systems.,23.08,23.08,76.92,0.0,2.5,6.96,60.92
1642,Appraise and inventory real and personal property for estate planning.,50.0,50.0,50.0,0.0,2.83,5.18,22.96
16422,Establish production or quality control standards.,29.46,29.46,70.54,0.0,2.85,7.63,46.9
16423,Prepare or present technical or project status reports.,68.6,68.6,31.4,0.01,3.02,4.57,35.69
16424,Develop or implement operating methods or procedures.,55.89,55.89,44.11,0.03,3.08,8.5,48.16
16425,"Write, review, or maintain engineering documentation.",58.06,58.06,41.94,0.0,3.06,10.89,58.59
16428,Provide technical direction to other engineers or engineering support personnel.,42.63,42.63,57.37,0.22,2.65,5.93,65.89
16430,Develop or integrate control feature requirements.,27.59,26.09,68.49,0.0,2.72,7.51,59.64
16431,Develop engineering specifications or cost estimates for automotive design concepts.,33.33,33.33,66.67,0.0,2.81,6.98,45.86
16432,"Develop calibration methodologies, test methodologies, or tools.",33.33,33.33,66.67,0.0,2.92,8.87,82.77
16435,Build models for algorithm or control feature verification testing.,50.0,50.0,50.0,0.0,3.0,7.11,56.71
16465,Provide consultation or training on topics such as mechatronics or automated control.,28.2,28.2,71.8,0.04,2.64,3.98,52.65
16468,Maintain technical project files.,81.13,90.0,20.93,0.0,2.87,1.81,18.1
16469,Analyze existing development or manufacturing procedures and suggest improvements.,36.52,36.52,63.48,0.13,2.81,7.62,59.91
16470,Implement or test design solutions.,62.05,62.05,37.95,0.03,3.17,7.8,36.12
16476,Create embedded software design programs.,54.14,54.2,45.91,0.03,2.99,8.82,60.95
16488,"Develop customer documentation, such as performance specifications, training manuals, or operating instructions.",50.27,51.71,51.15,0.01,3.12,8.64,40.35
1649,Plan and conduct special research projects in area of interest or expertise.,17.01,17.01,82.99,0.01,2.85,4.07,23.85
16492,"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",41.92,41.92,58.08,0.02,3.11,12.04,55.94
16501,"Develop or validate product-specific test protocols, acceptance thresholds, or inspection tools for quality control testing or performance measurement.",44.87,44.87,55.13,0.0,3.01,7.77,45.5
16512,"Review or approve designs, calculations, or cost estimates.",26.19,24.39,68.73,0.01,2.74,6.65,40.66
16513,Make system device lists or event timing charts.,45.45,45.45,54.55,0.0,2.86,7.49,54.0
16528,"Design software to control robotic systems for applications, such as military defense or manufacturing.",58.62,58.62,41.38,0.0,3.03,10.54,55.0
1653,"Schedule events and organize details, including refreshment, entertainment, decorations, and the collection of any fees.",43.75,43.75,56.25,0.0,3.38,2.66,11.81
16531,Write proposals to secure external funding or to partner with other companies.,38.85,38.85,61.15,0.0,3.03,8.87,41.38
16537,"Prepare reports, deliver presentations, or participate in program review activities to communicate engineering results or recommendations.",28.45,28.64,72.04,0.02,2.73,5.14,36.26
1654,"Write and review grant proposals, journal articles, institutional reports, and publicity materials.",24.53,24.53,75.47,0.07,2.76,9.21,65.58
16540,"Provide scientific or technical guidance or expertise to scientists, engineers, technologists, technicians, or others, using knowledge of chemical, analytical, or biological processes as applied to micro and nanoscale systems.",20.55,20.55,79.45,0.05,2.51,4.7,51.17
16568,"Provide technical direction or support to installation teams during installation, start-up, testing, system commissioning, or performance monitoring.",72.41,72.41,27.59,0.02,2.51,5.06,90.08
16570,"Develop design specifications and functional requirements for residential, commercial, or industrial solar energy systems or components.",35.29,35.29,64.71,0.0,2.89,5.67,49.28
16589,"Troubleshoot robotic systems, using knowledge of microprocessors, programmable controllers, electronics, circuit analysis, mechanics, sensor or feedback systems, hydraulics, or pneumatics.",57.89,57.89,42.11,0.0,2.7,2.83,55.1
16600,"Recommend tests or testing conditions in accordance with designs, customer requirements, or industry standards to ensure test validity.",31.97,31.76,67.57,0.01,2.73,6.04,56.38
16602,"Read and interpret blueprints, schematics, work specifications, drawings, or charts.",55.56,62.5,50.0,0.0,2.81,5.7,28.78
16610,"Recommend product or component design improvements, based on test data or observations.",39.82,39.82,60.18,0.02,2.71,7.64,77.67
16776,Recommend new systems and processes to improve operations.,37.01,37.01,62.99,0.08,2.83,8.67,69.36
16781,"Provide statistical and computational tools for biologically based activities, such as genetic analysis, measurement of gene expression, or gene function determination.",72.18,71.7,27.63,0.0,3.0,12.14,91.04
16783,Instruct others in the selection and use of bioinformatics tools.,47.37,47.37,52.63,0.0,2.79,7.53,166.32
16786,Develop new software applications or customize existing applications to meet specific scientific project needs.,66.44,66.44,33.56,0.17,3.07,11.38,77.77
16789,"Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.",70.0,70.0,30.0,0.0,2.9,15.03,129.53
16790,Create novel computational approaches and analytical tools as required by research goals.,61.36,61.36,38.64,0.01,3.21,16.48,89.1
16794,"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",36.32,36.32,63.68,0.12,2.82,8.0,68.41
16795,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",72.55,72.55,27.45,0.0,2.87,6.5,70.94
16809,Evaluate new technologies to enhance or complement current research.,42.48,42.48,57.52,0.0,2.93,5.94,32.17
16814,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,55.56,55.56,44.44,0.0,2.84,6.85,54.29
16815,"Conduct research on cell organization and function, including mechanisms of gene expression, cellular bioinformatics, cell signaling, or cell differentiation.",18.52,18.52,81.48,0.0,2.63,2.88,11.07
16817,Write grants and papers or attend fundraising events to seek research funds.,26.97,26.97,73.03,0.01,2.9,11.31,77.08
16831,Prepare results of experimental findings for presentation at professional conferences or in scientific journals.,15.69,15.69,84.31,0.0,2.92,16.01,64.22
16845,"Prepare grant applications to obtain funding for programs related to climate change, environmental management, or sustainability.",29.61,28.18,67.0,0.0,2.86,11.6,77.31
16847,"Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.",30.3,30.3,69.7,0.0,2.88,7.34,38.7
16857,Develop and communicate recommendations for landowners to maintain or restore environmental conditions.,40.91,40.91,59.09,0.0,2.82,2.19,20.09
16858,"Create diagrams to communicate environmental remediation planning, using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software.",41.35,41.35,58.65,0.0,3.13,3.6,12.88
16872,Collect and analyze data to determine environmental conditions and restoration needs.,47.06,47.06,52.94,0.0,2.79,3.88,20.56
16898,Monitor or analyze market and environmental trends.,54.76,54.76,45.24,0.1,2.9,6.92,36.98
16899,Interpret indicators to ascertain the overall health of an environment.,55.32,55.32,44.68,0.0,2.51,2.73,37.53
16904,Write research proposals and grant applications to obtain private or public funding for environmental and economic studies.,29.55,29.55,70.45,0.0,2.83,10.34,66.11
16934,Prepare or review engineering studies or specifications.,53.66,53.66,46.34,0.0,3.64,28.18,68.9
16944,"Produce environmental documents, such as environmental assessments or environmental impact statements.",35.29,35.29,64.71,0.0,3.06,7.39,25.67
1695,"Conduct reference searches, using printed materials and in-house and online databases.",50.27,50.27,49.73,1.38,2.68,4.9,29.65
16956,Perform visual inspections of finished products.,48.24,48.24,51.76,0.01,2.73,1.86,32.49
16960,Evaluate new technologies and methods to make recommendations regarding their use.,27.13,27.13,72.87,0.52,2.82,4.88,37.98
16964,"Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.",52.94,52.94,47.06,0.0,2.87,5.45,50.62
16972,"Monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols.",,,,0.0,3.07,0.85,2.6
16974,"Interpret test results, compare them to established specifications and control limits, and make recommendations on appropriateness of data for release.",59.46,59.46,40.54,0.0,2.74,3.66,51.08
16975,Identify quality problems and recommend solutions.,43.12,43.12,56.88,0.01,2.63,5.74,67.43
16976,Evaluate analytical methods and procedures to determine how they might be improved.,31.73,32.75,70.45,0.0,2.87,4.61,33.38
16979,Compile laboratory test data and perform appropriate analyses.,47.27,47.27,52.73,0.01,2.81,4.04,42.5
16981,Participate in the planning or development of mapping projects.,40.0,40.0,60.0,0.0,2.93,6.22,65.07
16983,Document methods used and write technical reports containing information collected.,54.17,54.17,45.83,0.0,3.33,11.87,43.39
16984,Develop specialized computer software routines to customize and integrate image analysis.,69.32,65.35,28.92,0.01,3.08,8.79,71.27
16987,"Prepare documentation or presentations, including charts, photos, or graphs.",46.38,46.38,53.62,0.03,3.3,10.71,35.0
16990,"Merge scanned images or build photo mosaics of large areas, using image processing software.",59.68,59.68,40.32,0.0,2.88,1.98,9.77
16991,Integrate remotely sensed data with other geospatial data.,81.08,85.71,20.0,0.0,2.88,4.52,67.61
16997,"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",83.33,83.33,16.67,0.0,2.51,1.36,15.85
17002,"Write reports to summarize student performance, social growth, or physical development.",37.78,37.78,62.22,0.01,2.6,3.39,27.56
1701,Organize and maintain periodicals and reference materials.,62.12,62.12,37.88,0.0,2.49,2.4,18.72
17021,"Research or recommend textbooks, software, equipment, or other learning materials to complement tutoring.",29.55,29.55,70.45,0.01,2.8,4.53,45.24
17024,Organize tutoring environment to promote productivity and learning.,60.29,60.29,39.71,0.0,2.44,2.13,18.07
17026,"Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",32.45,32.45,67.55,0.01,2.63,3.13,40.3
17027,"Provide feedback to students, using positive reinforcement techniques to encourage, motivate, or build confidence in students.",26.51,27.01,74.88,0.03,2.58,3.17,80.15
17028,Prepare lesson plans or learning modules for tutoring sessions according to students' needs and goals.,52.94,52.94,47.06,0.0,2.94,7.43,43.94
17031,"Develop teaching or training materials, such as handouts, study materials, or quizzes.",54.38,54.38,45.62,0.86,3.11,8.21,27.87
17033,"Collaborate with students, parents, teachers, school administrators, or counselors to determine student needs, develop tutoring plans, or assess student progress.",,,,0.0,2.53,5.3,55.0
17034,Assess students' progress throughout tutoring sessions.,20.19,20.19,79.81,0.03,2.5,4.76,84.06
17035,"Administer, proctor, or score academic or diagnostic assessments.",61.9,61.9,38.1,0.0,2.76,3.44,22.74
17036,"Teach students study skills, note-taking skills, and test-taking strategies.",29.22,28.72,69.57,0.01,2.72,4.49,68.65
17037,"Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",30.09,30.09,69.91,0.16,2.54,4.92,66.71
1706,Review subject matter of materials to be classified and select classification numbers and headings according to classification systems.,90.0,90.23,10.03,0.01,2.83,1.44,7.53
17065,Provide allergy or immunology consultation or education to physicians or other health care providers.,19.35,19.35,80.65,0.0,2.65,2.26,17.97
17069,"Educate patients about diagnoses, prognoses, or treatments.",25.73,25.73,74.27,0.02,2.52,1.97,49.1
17070,Interpret diagnostic test results to make appropriate differential diagnoses.,48.7,48.7,51.3,0.01,2.63,2.78,40.86
17093,"Counsel patients on topics such as the need for annual dermatologic screenings, sun protection, skin cancer awareness, or skin and lymph node self-examinations.",38.46,38.46,61.54,0.0,2.6,0.65,7.83
17095,"Diagnose and treat skin conditions such as acne, dandruff, athlete's foot, moles, psoriasis, or skin cancer.",73.33,73.33,26.67,0.0,2.73,0.72,10.27
17096,"Refer patients to medical specialists, social services, or other professionals as appropriate.",64.71,64.71,35.29,0.0,2.79,1.67,73.84
17099,Write patient discharge summaries and send them to primary care physicians.,53.33,53.33,46.67,0.0,2.53,2.85,37.07
17113,"Counsel patients or others on the background of neurological disorders including risk factors, or genetic or environmental concerns.",8.16,8.0,90.0,0.01,2.72,1.5,25.46
17114,"Interpret the results of neuroimaging studies, such as Magnetic Resonance Imaging (MRI), Single Photon Emission Computed Tomography (SPECT), and Positron Emission Tomography (PET) scans.",37.5,37.5,62.5,0.0,2.58,2.49,41.55
17115,Refer patients to other health care practitioners as necessary.,63.44,63.44,36.56,0.0,2.72,0.51,17.38
17116,Advise other physicians on the treatment of neurological problems.,28.21,36.67,93.33,0.0,2.44,6.27,23.53
17123,"Interview patients to obtain information, such as complaints, symptoms, medical histories, and family histories.",85.0,85.0,15.0,0.0,2.79,0.44,10.33
17125,"Diagnose neurological conditions based on interpretation of examination findings, histories, or test results.",70.59,70.59,29.41,0.0,3.0,2.54,28.65
1714,Compose explanatory summaries of contents of books and other reference materials.,44.86,44.74,54.99,0.09,2.7,4.81,29.14
17163,Educate patients about maintenance and promotion of healthy vision.,26.9,26.9,73.1,0.0,2.48,1.02,24.0
17191,"Analyze and interpret results from tests, such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (FNAs), and polymerase chain reactions (PCRs).",31.71,31.71,68.29,0.0,2.57,2.38,58.3
1720,"Plan arrangement according to client's requirements, using knowledge of design and properties of materials, or select appropriate standard design pattern.",48.38,48.38,51.62,0.02,3.15,4.63,26.89
17202,"Diagnose or treat performance-related conditions, such as sports injuries or repetitive-motion injuries.",70.59,70.59,29.41,0.0,2.71,1.74,33.88
17242,Prepare comprehensive interpretive reports of findings.,45.4,45.4,54.6,0.0,2.91,6.37,38.25
17252,"Communicate examination results or diagnostic information to referring physicians, patients, or families.",51.43,51.43,48.57,0.0,2.45,2.8,56.74
17254,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",64.29,64.29,35.71,0.0,2.65,1.78,26.01
17257,Advise against injured athletes returning to games or competition if resuming activity could lead to further injury.,65.82,65.82,34.18,0.0,2.61,3.83,89.3
17263,"Advise athletes, trainers, or coaches to alter or cease sports practices that are potentially harmful.",62.33,62.33,37.67,0.01,2.73,4.01,82.34
17270,Provide education and counseling on illness and injury prevention.,34.56,35.29,66.81,0.01,2.53,1.26,22.01
17274,"Inform athletes about nutrition, hydration, dietary supplements, or uses and possible consequences of medication.",47.29,47.56,53.02,0.05,2.63,4.63,78.8
17275,Evaluate and manage chronic pain conditions.,40.0,40.0,60.0,0.0,2.73,3.37,83.4
17281,Diagnose or treat disorders of the musculoskeletal system.,70.59,70.59,29.41,0.0,2.78,2.1,48.17
17283,Document or review patients' histories.,62.96,62.96,37.04,0.0,2.69,2.4,30.09
1732,"Conduct classes or demonstrations, or train other workers.",41.13,41.13,58.87,0.01,2.69,5.25,99.08
17320,"Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.",40.74,50.0,72.73,0.0,3.19,3.9,96.61
17323,"Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.",51.35,51.35,48.65,0.0,2.64,2.89,58.45
17324,Evaluate patients' behavior to formulate diagnoses or assess treatments.,41.11,41.11,58.89,0.0,2.77,5.4,68.12
17326,Monitor patients' medication usage and results.,93.75,93.75,6.25,0.0,2.44,3.98,150.81
17327,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.",27.13,26.32,70.69,0.0,2.59,2.93,77.93
17328,"Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.",35.58,30.43,55.1,0.0,2.76,3.52,53.63
17331,"Assess patients' mental and physical status, based on the presenting symptoms and complaints.",54.55,54.55,45.45,0.0,2.66,1.51,30.34
1734,"Estimate material requirements and costs, and present design to client for approval.",33.81,33.81,66.19,0.01,2.87,5.91,38.82
17349,"Write reports or complete forms to document assessments, training, progress, or follow-up outcomes.",46.94,46.94,53.06,0.0,3.02,4.08,34.69
17351,"Assess clients' functioning in areas such as vision, orientation and mobility skills, social and emotional issues, cognition, physical abilities, and personal goals.",42.11,42.11,57.89,0.0,2.74,2.74,32.79
17359,"Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.",39.39,39.39,60.61,0.0,2.73,3.05,47.91
1736,"Advise client on interior design factors, such as space planning, layout and use of furnishings or equipment, and color coordination.",44.21,44.15,55.71,0.03,3.02,4.16,29.26
17370,Develop individual treatment plans and strategies.,47.83,47.83,52.17,0.0,3.33,5.14,23.12
17387,"Communicate test results or technical information to patients, physicians, family members, or researchers.",45.99,42.86,50.34,0.0,2.49,3.1,61.56
174,"Program and use computers to store, process, and analyze data.",65.02,65.02,34.98,0.04,3.08,9.63,67.02
17437,"Explain testing procedures to patients, answering questions or reassuring patients, as needed.",27.08,25.93,69.81,0.0,2.35,1.14,40.94
1747,"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",47.6,47.6,52.4,0.04,2.59,4.72,104.41
17475,Estimate patients' due dates and re-evaluate as necessary based on examination results.,66.67,66.67,33.33,0.0,2.39,2.95,117.96
17487,"Provide, or refer patients to other providers for, education or counseling on topics such as genetic testing, newborn care, contraception, or breastfeeding.",35.89,35.89,64.11,0.01,2.39,1.78,37.47
17491,Compile and evaluate clinical practice statistics.,36.84,36.84,63.16,0.0,2.65,8.15,44.65
17493,Counsel women regarding the nutritional requirements of pregnancy.,32.35,34.12,71.34,0.0,2.46,2.15,50.35
17495,Incorporate research findings into practice as appropriate.,46.67,46.67,53.33,0.0,3.13,5.37,26.33
17498,Recommend the use of vitamin and mineral supplements to enhance the health of patients and children.,33.67,33.67,66.33,0.03,2.67,3.96,61.37
1750,"Instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.",48.28,48.28,51.72,0.0,2.71,2.72,48.17
17500,Analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,26.67,26.67,73.33,0.0,2.8,,53.53
17502,"Provide genetic counseling in specified areas of clinical genetics, such as obstetrics, pediatrics, oncology and neurology.",28.21,28.21,71.79,0.0,2.56,1.9,18.74
17504,"Provide counseling to patient and family members by providing information, education, or reassurance.",32.03,31.35,66.54,0.01,2.63,2.65,76.92
17505,"Determine or coordinate treatment plans by requesting laboratory services, reviewing genetics or counseling literature, and considering histories or diagnostic data.",49.18,49.18,50.82,0.0,2.79,4.82,77.6
17507,Interpret laboratory results and communicate findings to patients or physicians.,42.42,42.42,57.58,0.01,2.49,1.47,36.37
17510,Refer patients to specialists or community resources.,65.9,64.42,33.33,0.0,2.77,1.31,46.43
1752,Evaluate athletes' skills and review performance records to determine their fitness and potential in a particular area of athletics.,50.0,50.0,50.0,0.0,2.8,1.8,26.49
17550,Link or chart suspects to criminal organizations or events to determine activities and interrelationships.,,,,0.0,3.07,10.57,106.2
17557,"Develop defense plans or tactics, using intelligence and other information.",67.55,69.39,33.33,0.0,2.71,10.45,105.2
17571,Recommend new or improved processes or equipment to reduce risk exposure.,45.21,45.21,54.79,0.01,2.71,2.04,19.71
17579,Recommend methods to reduce potential financial fraud losses.,40.74,40.74,59.26,0.0,2.75,1.14,13.68
1758,"Explain and demonstrate the use of sports and training equipment, such as trampolines or weights.",54.76,54.76,45.24,0.0,2.63,3.17,82.26
17595,Create signs to advertise store products or events.,26.19,26.19,73.81,0.0,3.18,2.5,19.93
17603,Assess employee performance and suggest ways to improve work.,49.91,53.97,54.17,0.0,2.75,4.16,29.77
17606,Develop staff service or retail goals and guide staff in goal achievement.,34.68,37.93,71.43,0.0,2.94,6.55,29.21
17610,"Perform accounting duties, such as recording daily cash flow, preparing bank deposits, or generating financial statements.",60.0,60.0,40.0,0.0,3.43,9.46,35.0
17612,Respond to customer inquiries or complaints.,83.49,84.44,16.7,0.04,2.49,0.86,18.71
17615,Develop or implement marketing strategies.,35.56,35.56,64.44,0.04,3.03,12.5,73.26
17617,Maintain client databases.,77.86,79.33,22.56,0.02,3.07,2.57,24.08
17660,Develop marketing or strategic plans for sales territories.,45.54,45.54,54.46,0.01,3.14,12.75,50.33
17663,"Provide customers with information, such as quotes, orders, sales, shipping, warranties, credit, funding options, incentives, or tax rebates.",29.99,29.99,70.01,0.02,2.35,0.89,11.7
17664,"Provide technical information about solar power, solar systems, equipment, and services to potential customers or dealers.",26.88,26.88,73.12,0.0,2.45,2.17,18.38
17667,"Explain policies, procedures, or services to patients using medical or administrative knowledge.",34.66,34.66,65.34,0.01,2.3,1.83,19.36
17674,"Develop and distribute newsletters, brochures, or other printed materials to share information with patients or medical staff.",56.72,56.72,43.28,0.02,3.21,4.67,16.09
17687,"Prepare shipping documentation, such as bills of lading, packing lists, dock receipts, or certificates of origin.",31.25,31.25,68.75,0.0,3.13,4.09,28.13
17689,"Inform clients of factors such as shipping options, timelines, transfers, or regulations affecting shipments.",43.4,43.4,56.6,0.0,2.23,1.72,30.56
1769,"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",37.26,37.04,62.38,0.06,2.89,6.61,51.44
17697,"Recommend or arrange appropriate merchandise packing methods, according to climate, terrain, weight, nature of goods, or costs.",45.16,45.16,54.84,0.0,2.63,1.18,11.8
17699,"Verify adherence of documentation to customs, insurance, or regulatory requirements.",36.97,36.97,63.03,0.0,2.63,4.41,38.71
17706,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",72.22,72.22,27.78,0.0,3.35,10.8,23.11
17707,"Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases.",55.0,55.0,45.0,0.0,2.95,5.13,45.15
17709,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",60.08,60.08,39.92,0.01,2.74,9.04,105.49
1771,"Consult with advertising agencies or staff to arrange promotional campaigns in all types of media for products, organizations, or individuals.",50.0,50.0,50.0,0.0,2.67,4.81,53.47
17711,Create data management or error-checking procedures and user manuals.,36.36,36.36,63.64,0.0,3.09,10.59,66.78
17715,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",39.69,40.25,61.15,0.1,3.2,13.74,56.77
17717,Participate in the preparation of reports or scientific publications.,32.82,32.82,67.18,0.12,2.85,12.17,75.14
17718,Test new or updated software or tools and provide feedback to developers.,73.84,63.41,22.47,0.0,3.26,12.1,77.91
1772,Coach client representatives in effective communication with the public or with employees.,36.14,36.14,63.86,0.05,2.59,4.6,76.75
17720,Write computer programs or scripts to be used in querying databases.,69.33,69.33,30.67,0.03,3.21,11.11,70.88
17721,Conduct quality analyses of data inputs and resulting analyses or predictions.,55.51,55.51,44.49,0.08,2.93,10.47,76.6
17724,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",96.17,96.17,3.83,0.03,2.77,3.2,62.55
17736,"Evaluate subcontractors or subcontractor bids for quality, cost, and reliability.",50.1,49.11,48.91,0.01,2.8,6.22,35.8
1775,"Plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management.",62.5,62.5,37.5,0.0,3.0,10.49,24.85
1776,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",35.3,35.3,64.7,0.61,2.47,3.2,36.07
17763,"Compile or maintain records of system operation, performance, and maintenance.",99.79,99.79,0.21,0.01,3.17,0.53,1.43
1777,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",28.68,28.68,71.32,0.23,2.33,2.7,39.07
1778,"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",48.44,48.44,51.56,0.0,3.11,8.1,31.88
1779,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",46.05,46.05,53.95,0.0,3.13,7.39,34.68
178,"Identify, classify, and study structure, behavior, ecology, physiology, nutrition, culture, and distribution of plant and animal species.",50.46,50.46,49.54,0.01,2.59,0.85,12.99
1780,"Verify facts, dates, and statistics, using standard reference sources.",34.82,35.43,66.31,0.08,2.64,5.36,30.84
17802,"Explain recommendations, policies, procedures, requirements, or other related information to residents or building owners.",43.59,43.59,56.41,0.01,2.35,1.05,14.73
1782,"Develop story or content ideas, considering reader or audience appeal.",29.82,29.82,70.18,0.75,2.78,6.12,60.84
1786,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",10.49,10.49,89.51,0.11,2.65,7.16,84.7
17896,"Implement grant-funded projects, monitoring and reporting progress in accordance with sponsoring agency requirements.",33.33,33.33,66.67,0.0,3.06,7.44,33.87
1790,Make manuscript acceptance or revision recommendations to the publisher.,32.58,29.79,61.64,0.0,2.81,8.02,43.79
1791,"Select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value.",60.61,60.61,39.39,0.0,3.3,5.89,27.35
17910,Review customer requests for service to determine service needs and deploy appropriate resources to provide service.,82.81,82.81,17.19,0.0,2.22,1.05,10.93
17955,"Prepare and maintain logs, reports, or other documentation of work performed.",89.47,89.47,10.53,0.21,3.28,2.35,16.84
18002,Evaluate the quality and effectiveness of nursing practice or organizational systems.,42.11,42.11,57.89,0.0,2.47,5.75,35.79
18010,"Make clinical recommendations to physicians, other health care providers, insurance companies, patients, or health care organizations.",39.34,39.34,60.66,0.01,2.51,2.74,23.72
18011,"Plan, evaluate, or modify treatment programs, based on information gathered by observing and interviewing patients or by analyzing patient records.",53.82,53.82,46.18,0.01,2.75,6.65,88.09
18012,Present clients with information required to make informed health care and treatment decisions.,40.0,40.0,60.0,0.0,2.61,5.11,119.8
18020,Prepare reports to document patients' care activities.,56.9,56.9,43.1,0.01,2.73,3.19,34.06
18023,Formulate or implement regulatory affairs policies and procedures to ensure that regulatory compliance is maintained or enhanced.,61.75,60.53,37.5,0.0,3.29,15.97,32.96
18024,"Provide regulatory guidance to departments or development project teams regarding design, development, evaluation, or marketing of products.",25.0,25.0,75.0,0.01,2.72,7.37,47.15
18037,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",43.31,43.31,56.69,0.01,2.84,7.91,35.62
18040,Contribute to the development or implementation of business unit strategic and operating plans.,48.35,48.35,51.65,0.03,2.92,9.52,56.01
18042,Develop and maintain standard operating procedures or local working practices.,41.24,41.24,58.76,0.01,3.03,11.97,66.05
18048,"Coordinate, prepare, or review regulatory submissions for domestic or international projects.",51.41,51.41,48.59,0.01,3.04,8.53,43.72
18049,Interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,38.92,44.12,69.23,0.0,2.81,6.81,36.13
